Name,urlwebsite,Description French,Description
1food1me,https://1food1me.com,Votre corps sait ce dont il a besoin. Apprenez-le aussi. Vous et votre biologie. Votre nutrition personnalisée. 1Food1Me vous aide à connaitre vos,Your body knows what it needs. Learn it well. You and your biology. Your customized nutrition. 1Food1Me helps you know your
appines,https://www.appines.fr/,"Télécharge la 1ère app de recrutement de remplaçants, assistants et collaborateurs kinésithérapeutes en France et DOM-TOM. Annonces et contrats kinés","Download 1st app recruitment of substitutes, assistants and physiotherapists employees in France and overseas territories. Ads and contracts physios"
interstis,https://interstis.fr/,Formulaire de recrutement d'interstis,Recruitment Form InterSTIS
kshuttle,https://www.kshuttle.io/fr/,kShuttle.io offre une vision unifiée de l'efficacité opérationnelle et de la gestion du risque. kShuttle efface les frontières entre directions métiers et hiérarchies.,kShuttle.io provides a unified view of operational efficiency and risk management. kShuttle erases the boundaries between business managers and hierarchies.
ticketin,http://www.ticketin.fr,,#VALUE!
citizenwave,https://www.citizenwave.com/,"Découvrez Citizenwave, la Plateforme analytique collaborative de l’engagement des personnes et des organisations dans une démarche écoresponsable collective","Discover Citizenwave, collaborative analytic platform commitment of people and organizations in a collective eco-responsible approach"
darlow,https://darlowparis.com,"Agence fondée par une artiste, votre site sera fait avec une vision artistique. Vous êtes sûr à 100% d'avoir un un beau site moderne & esthétique.","Agency founded by an artist, your site will be done with an artistic vision. You are 100% sure to have a beautiful & modern aesthetic site."
deepsight,https://www.deepsight.io/,,#VALUE!
teambrain,https://teambrain.fr/,TeamBrain c'est automatiser les réponses ✔️ sans setup ✔️ auto-apprenant ✔️ usage-illimité ✔️ et multilingue !,TeamBrain is automate responses ✔️ without setup ✔️ self-learning ✔️ use unlimited ✔️ and multilingual!
luxurynsight,https://www.luxurynsight.com/,Combining the best of data science and luxury expertise. Luxurynsight’s smart data platform and data services provide luxury insights to leading luxury brands.,Combining the best of science data and luxury expertise. Luxurynsight's smart data platform and data services Provide insights to luxury leading luxury brands.
captain-achat,https://www.captainachat.com,"Entièrement dédié aux artisans, TPE et PME, Captain Achat c’est jusqu'à 30% d’économie à l'année sur vos achats informatiques. Découvrez nos offres !","Entirely dedicated to the craftsmen, small and micro businesses, Captain purchase is up to 30% savings in the year on your IT purchases. Discover our offers!"
trapeze-des-mascareignes,https://trapeze-des-mascareignes.site/,"Le trapèze des Mascareignes est un archipel composé de cinq îles principales, c'est un véritable sanctuaire naturel de faune et flore.","The trapeze of the Mascarene Islands is an archipelago composed of five main islands, it is a real natural sanctuary wildlife and flora."
meet-business-students,http://www.meet-bs.com,"Meet est un site de rencontre, exclusivement pour les étudiants en école de commerce. Il permet de rencontrer des étudiants qui pratiquent la même chose que toi.",Meet is a dating site exclusively for business school students. It allows to meet students who practice the same thing as you.
serialtesteur,https://www.serialtesteur.fr/,"Si vous recherchez un site internet qui vous propose des tests objectifs de nombreux types de produits (high tech, sport, etc) vous êtes au bon endroit...","If you are looking for a website that offers you many objective tests types of products (high tech, sports, etc.) you are in the right place ..."
feel-good-vinyl,https://www.feelgoodvinyl.com,"Découvrez Feel Good Vinyl, un abonnement vinyle mensuel de 2 nouveaux vinyles chaque mois de house chaleureuse. House, Disco, et sonorités Jazzy pour égayez votre quotidien. Vinyle House / Vinyle Disco / Vinyle Feel Good / Abonnement Vinyle","Discover Feel Good Vinyl, vinyl monthly subscription of 2 new vinyl records each month of warm house. House, Disco, and Jazzy sounds to brighten your day. Vinyl House / Disco Vinyl / Vinyl Feel Good / Vinyl Subscription"
melotick,https://melotick.com,"Melotick offre différents services afin de trouver et suivre les évènements culturels qui vous ressemblent (Opéras, Ballets, Concerts …)","Melotick offers various services to find and follow the cultural events that you like (opera, ballet, concerts ...)"
examin,http://examin.eu,WordPress - Un site utilisant WordPress,WordPress - WordPress site
amabilis,https://www.amabilis.fr/,"Spécialisée dans l'aide à domicile, Amabilis vous propose ses services afin d'accompagner les personnes en manque ou en absence d'autonomie dans leur quotidien.","Specializing in home help, Amabilis offers its services to support people in need or lack of autonomy in their day."
crowdsec,https://crowdsec.net/,"CrowdSec is a cybersecurity automation engine, leveraging the unique combination of local IP behavior & global reputation features.","CrowdSec is a cybersecurity automation engine, leveraging the unique combination of local IP behavior & global reputation features."
lici,https://lici.fr/,Lici est une application mobile qui permet aux professionnels de la transaction de travailler et vendre plus efficacement,Lici is a mobile application that allows professionals to transaction work and sell more effectively
data-soluce,http://datasoluce.com/,Digital twin of your building,Digital twin of your building
tomojo,https://tomojo.co/,"Tomojo, les croquettes aux insectes pour chien et chat, naturellement sans compromis. Des croquettes pour chien et chat, enrichies en protéines, traçables et produites en France pour leur offrir le meilleur. Une recette saine et digeste, sans céréales et adaptée aux animaux sensibles.","Tomojo, insects croquettes for dogs and cats, of course uncompromising. of dog food and cat, protein-enriched, traceable and produced in France to offer them the best. A healthy recipe and digestible, grain-free and suitable for sensitive animals."
keezeco,https://keeze.co/,,#VALUE!
koyeb,https://www.koyeb.com/,"Connect, process, and store all your data with Koyeb’s unified Serverless Platform. Deploy production-grade processing Workflows using tons of integrations and custom functions in minutes.","Connect, process, and store all your data with Koyeb Serverless's Unified Platform. Deploy Production-grade processing workflows using shades of integrations and custom functions in minutes."
